Kod 	Klartext
84700 	Mucinöst kystadenom, UNS
84701 	Misst mucinöst kystadenom
84702 	Mucinös kystadenocarcinom icke invasivt
83351 	Misstänkt follikulärt adenocarcinom minimal invasivitet
83373 	Insulärt carcinom (C73.9)
84091 	Misstänkt malignt eccrint porom
84402 	Cystadenocarcinom UNS in situ
84411 	Seröst cystadenocarcinom, misstänkt
84412 	Seröst cystadenocarcinom in situ
833030 	Follikulärt adenocarcinom, massivt infiltrerande
83323 	Follikulärt carcinom, trabekulärt
83363 	Trabekulärt carcinom hyaliniserande
84523 	Solid pseudopapillärt carcinom
84531 	Intraduktal papillär mucinöst neoplasi borderline (IPMN)
84703 	Adenocarcinom, peritonealt mucinöst (C48.2)
84721 	Mucinöst kystadenom (kystom) Borderlinetumör
84731 	Mucinös papillär/cystisk Borderlinetumör
84801 	Misstänkt slembildande adenoca
84802 	Intramukosal non invasiv cancer
84803 	Adenocarinom, slembildande (mucinöst)
84901 	Misstänkt signetringcellscancer
84903 	Signetringcellsscarcinom
85001 	misst duktal ca
85002 	Duktalt carcinom in situ, intraduktalt carcinom, UNS
85003 	Duktalt carcinom,=duktogent carcinom
85011 	Misstänkt comedocancer
85012 	Comedocarcinom in situ
85013 	Comedocarcinom
85023 	Juvenilt/sekretoriskt carcinom i bröst
85031 	Adenocarcinom, duktalt, papillärt, misstänkt
85032 	Adenocarcinom, intraduktalt, papillärt in situ
85033 	Adenocarcinom, duktalt, papillärt
85101 	Misstänkt medullär cancer
85103 	Carcinom, medullärt, UNS
85113 	Medullärt carcinom
85133 	Medullärt carcinom, atypiskt
85201 	Misstänkt lobullär cancer
85202 	Lobulärt carcinom in situ
85203 	Lobulärt carcinom, UNS
85222 	Kombinerat duktalt och lobulärt carcinom in situ
85223 	Kombinerat duktalt och lobulärt carcinom
85233 	Duktalt carcinom blandat med andra typer
85243 	Lobulärt carcinom blandat med andra typer
85253 	Adenocarcinom pleomorft låggradigt
85303 	Inflammtoriskt carcinom
85401 	Misstänkt Mb Paget
85403 	Mb Paget
85413 	Mb Paget och infiltrerande duktalt carcinom
85421 	Misstänkt Mobus Paget (extramammärt) invasiv
85422 	Extr Paget sjd
85423 	Morbus Paget (extramammär)
85433 	Mb Paget och duktalt carcinom in situ
85501 	Acinärcellstumör
85503 	Acinic cell cancer
85601 	Misstänkt addenoskvamös cancer
85602 	Adenoskvamös ca in situ
85603 	Adenoskvamös cancer
85623 	Epiteial-myoepitelial carcinom
85701 	Misstänkt adenoakantom
85703 	Adenoakantom
85753 	Metaplastiskt carcinom
85800 	Tymom, benign
85801 	Tymom UNS
85803 	Tymom, malignt, UNS
85811 	Tymom, medullärt, UNS
85813 	Tymom, medullärt, malignt
85821 	Tymom, blandat, UNS
85823 	Tymom, blandat, malignt
85841 	Tymom, kortikalt, UNS
85043 	Intracystiskt papillärt adenocarcinom
85232 	Duktalt carcinom in situ blandat med andra typer in situ
85242 	Lobulärt carcinom in situ blandat med andra typer in situ
85723 	Adenocarcinom med spindelcellsmetaplasi
85513 	Acinic cell cystadenocarcinom
85523 	Acinär/ductal blandtumör, carcinom
85763 	Hepatoid adenocarcinom
85843 	Tymom, kortikalt, malignt
85863 	Carcinom, tymiskt, UNS
85901 	Gonadal stromacellstumör UNS (interstialcellstumör)
86000 	Tekom UNS
86001 	Misstänkt tekom malignt
86003 	Tekom, malignt
86100 	Luteom endokrint aktiv???
86201 	Granulosacellstumör, UNS
86203 	Granulosacellstumör
86211 	Granulosa-tekacellstumör
86301 	Androblastom/arrenoblastom, UNS
86303 	Androblastom/arrenoblastom, malignt
86311 	Sertoli-Leydig cellstumör (endokrint aktiv)
86313 	Sertoli-Leydig-cells tumör, malign
86321 	Gynandroblastom
86403 	Sertolicells-carcinom
86410 	Sertolicellstumör UNS (endokrint aktiv = lipidrik)
86501 	Leydigcellstumör, UNS
86503 	Leydigcellstumör, malign
86600 	Hiluscellstumör (endokrint aktiv)
86700 	Lipidcellstumör i ovariet (endokrint aktiv)
86801 	Paragangliom, i annat läge, (C75.5)
86803 	Paragangliom, i annat läge, malignt (C75.5)
86901 	Glomus jugulare tumör (C75.9)
86911 	Glomus aorticum tumör (C75.9)
86921 	Glomus caroticum tumör (C75.9)
86931 	Kemodektom (extraadrenalt paragangliom) (C75.5)
87000 	Familjär kromaffinomatos (C75.8)
87003 	Feokromocytom, malignt, UNS
87201 	Melanom, malignt, misstänkt
87202 	Melanocytär nevus med grav/stark atypi/dysplasi (dysplastisk nevus)
87203 	Malignt melanom
87213 	Nodulärt melanom (NM)
87223 	Ballongcellsmelanom
87231 	Regressivt melanom / tumorös melanos
87233 	Malignt melanom regressivt
87270 	Melanocytär nevus med grav/stark atypi/dysplasi (dysplastisk nevus)
87280 	Melanocytos, diffus (C70.9)
87281 	Melanocytom, meningealt (C70.9)
87283 	Melanomatosis, meningeal (C70.9)
87303 	Amelanotiskt melanom
87412 	Melanos, precancerös
87421 	Misstänkt lentigo maligna
87422 	Lentigo maligna (in situ-form)
87423 	Lentigo maligna melanom (LMM)
87432 	Superficiellt / ytspridande melanom in situ
87433 	Superficiellt / ytspridande melanom (SSM)
87442 	Akralt lentiginöst melanom in situ
87443 	Akralt lentiginöst melanom (ALM)
87451 	Misstänkt desmoplastiskt malignt melanom
87453 	Desmoplastiskt melanom
87462 	Mucosalt entiginöst melanom in situ*
87463 	Mucosalt lentiginöst melanom*
87642 	Mucosalt lentiginöst melanom in situ*
87701 	Atypisk Spitznevus
85893 	Carcinom med tymuskliknande differentiering
87001 	Feokromocytom, malignt misstänkt
87211 	Nodulärt melanom (NM), misstänkt malign
87413 	Melanom, utvecklat ur precancerös melanos
87613 	Melanom malignt, utvecklat ur kongental jättenevus
87703 	Blandat epiteloid- och spolcellsmelanom / Spitzoitt melanom-
87713 	Epiteloidcellsmelanom
87723 	Spolcellsmelanom
87733 	Melanom, malignt spolcellig typ A
87743 	Melanom, malignt spolcellig typ B
87803 	Malign blå nevus / malignt melanom utvecklat ur en blå nevus
88001 	Misstänkt odiff sarkom, mesenkymal tumör
88003 	Sarkom UNS
88011 	Misstänkt spolcelligt sarkom
88013 	Spolcelligt sarkom
88023 	Jättecellssarkom
88033 	Småcelligt sarkom
88041 	Misstänkt epiteloidcellssarkom
88043 	Epiteloidcellssarkom
88063 	Småcelligt desmoplastiskt sarkom
88101 	Misstänkt fibrosarkom/cellulär fibrom
88103 	Fibrosarkom (C54.9)
88111 	Misstänkt fibromyxosarkom
88113 	Fibromyxosarkom
88143 	Fibrosarkom, infantilt
88153 	Solitär fibrös tumör, malign
88211 	Fibromatos, aggressiv
88221 	Abdominal Fibromatos (desmoid)
88301 	Fibröst histiocytom, atypiskt
88303 	Fibröst histiocytom, malignt
88323 	Dermatofibrosarcoma protuberans
88400 	Myxom, UNS
88403 	Myxosarkom
88500 	Intrakraniellt lipom, Lipom UNS
88501 	Atypiskt lipom
88503 	Liposarkom, UNS
88513 	Liposarkom högt differentierat
88523 	Liposarkom, myxoitt
88533 	Liposarkom, rundcelligt
88543 	Liposarkom, pleomorft
88583 	Liposarkom, dedifferentierat
88901 	Misstänkt leiomyosarkom
88903 	Leiomyosarkom
88910 	Leiomyoblastom, Epiteloid leiomyom
88913 	Leiomyosarkom, epitelioitt
88930 	Bisarrt (epiteloitt) leiomyom
88951 	Misstänkt myogent sarkom
88953 	Myogent sarkom
89001 	Misstänkt Rhabdomyosarkom
89003 	Rhabdomyosarkom UNS
89013 	Rhabdomyosarkom, pleomorft adult typ
89103 	Rhabdomyosarkom, embryonalt (botryoid-typ)
89203 	Alveolärt rhabdomyosarkom
