Kod	"Sjukhus"
57013	"Avesta lasarett"
57316	"Borlänge sjukhus"
57500	"Säters sjukhus"
61010	"Gävle sjukhus"
61011	"Bollnäs sjukhus"
61012	"Hudiksvalls sjukhus"
61013	"Sandvikens sjukhus"
61014	"Söderhamns sjukhus"
62010	"Sundsvalls sjukhus"
62011	"Örnsköldsviks sjukhus"
571013	"Leksands VC"
62012	"Härnösands sjukhus"
62013	"Sollefteå sjukhus"
62996	"Polismyndighet i sundsvall"
62998	"Alii morb genital fem"
63010	"Östersunds sjukhus"
631028	"Hälsocentralen strömsund"
631034	"Åre hälsocentral"
63199	"Östersund privatmott"
64001	"Regionsjukhuset i umeå"
64010	"Skellefteå lasarett"
64011	"Lycksele lasarett"
65010	"Bodens lasarett"
65011	"Luleå lasarett"
65012	"Gällivare lasarett"
65013	"Piteå lasarett"
65014	"Kalix lasarett"
65015	"Kiruna lasarett"
651022	"Öjebyns VC"
65500	"Furunäsets sjukhus"
88001	"Rigshospitalet"
88100	"Herlev"
88300	"Århus"
88302	"Randers"
88308	"Viborg"
88309	"Hostebro"
88310	"Vejle"
88400	"Ålborg"
99001	"Rikshostpitalet Oslo"
99004	"Lillehammar"
99006	"Fredrikstad"
99008	"Tönsberg"
99011	"Vest-Agder Sykehus, Kristiansand"
99007	"Buskerud Sentralsykehus"
99012	"Hönefoss"
99014	"Kongsvinger"
99100	"Haukeland sykehus, Bergen"
99101	"Diakonissehjemmet, Bergen"
99200	"Trondheim"
99201	"Levanger"
99202	"Volda"
99203	"Kristiansund"
99204	"Molde"
99205	"Møre og Romsdal Sentralsykehus, Ålesund"
99206	"Namdal sykehus, Namsos"
99207	"Sandnessjön"
99300	"Ullevål, Oslo"
99301	"Diakonhjemmet, Oslo"
99400	"Tromsö"
99401	"Harstad"
99402	"Vefsn sykehus, Mosjøen"
99404	"Stokmarknes"
99405	"Nordland sykehus, Bodø"
99500	"Rogaland Sentralsykehus, Stavanger"
99501	"Haugesund"
99601	"Hedmark Sentralsykehus, Elverum"
99602	"Gjövik"
99603	"Hamar"
99604	"Aker, Oslo"
99605	"Florö"
99606	"Förde"
99607	"Laerdal"
99608	"Nordfjordeid"
99609	"Odda"
99610	"Stord"
99611	"Voss"
99612	"Orkanger"
99613	"Gravdal"
99614	"Hammerfest"
99615	"Kirkenes"
99616	"Rana sykehus, Mo"
99617	"Narvik"
99618	"Arendahl"
99619	"Baerum"
99620	"Kongsberg"
99621	"Larvik"
99622	"Stensby sykehus, Minnesund"
99623	"Akershus Sentralsykehus. Nordbyhagen"
99624	"Notodden"
99625	"Telemark Sentralsykehus"
99626	"Sandefjord"
99627	"Sarpsborg"
99999	"Okänt/utländskt sjukhus"
411065	"VC Norra Fäladen"
101114	"VC Stureby Sth"
65016	"Sunderbysjh"
500001	"Läkarhuset S Vägen 27 GBG"
500002	"Artclinic Eklandagatan 80 GBG"
5199	"Privatläk Västerbottens län"
65199	"Priv läk Västerbottens län"
621046	"Söråkers vårdcentral"
411022	"VC Skurup"
500003	"Hagakliniken F:a Långgatan 16 Gbg"
