Kod 	Klartext
C679 	Urinblåsa UNS
C680 	Urinrör (uretra)
C681 	Parauretrala körtlar
C688 	Överväxt till/från angränsande sublokal inom andra och icke specificerade urinor
C689 	Urinorgan UNS
C690 	Konjunktiva (bindehinna)
C691 	Kornea (hornhinna)
C692 	Retina (näthinna)
C693 	Korioidea (åderhinna)
C694 	Iris (regnbågshinna) och övrig ciliarkropp
C695 	tårsäck och tårkanal
C696 	Ögonhåla (orbita)*
C698 	Överväxt till/från angränsande sublokal inom C69 med okänt ursprung
C699 	Öga UNS
C700 	Hjärnhinnor
C701 	Ryggmärgshinnor
C709 	Hinnor UNS
C710 	Storhjärna (cerebrum)
C711 	Frontallob
C712 	Temporallob
C713 	Parietallob
C714 	Occipitallob
C715 	Hjärnventriklar (exkl fjärde ventrikeln)
C716 	Lillhjärna (cerebellum)
C717 	Hjärnstam inkl fjärde ventrikeln
C718 	Lämplig text, tack!
C719 	Hjärna UNS inkl intrakraniellt läge
C720 	Ryggmärg (medulla spinalis)
C721 	Cauda equina
C722 	Luktnerv (nervus olfactorius) inkl luktbulb
C723 	Synnerv (nervus opticus)
C724 	Hörselnerv (nervus acusticus)
C725 	Kranialnerver UNS
C728 	Överväxt till/från angränsande sublokal som inte kan klassificeras under C70-C72
C729 	Centrala nervsystemet UNS
C739 	Sköldkörteln (thyreoidea)
C740 	Cortex (bark)
C741 	Medulla (märg)
C749 	Binjure, UNS
C750 	Bisköldkörteln (parathyreoidea)
C751 	Hypofysen
C752 	Ductus craniopharyngealis (hypofysgången)
C753 	Tallkottkörteln (corpus pineale)
C754 	Glomus caroticum
C755 	Lämplig text, tack!
C758 	Multifokal lokalisation (inkl familjär kromaffinomatos och multifokal endokrin a
C759 	Annan endokrin körtel eller UNS
C760 	Icke närmare specificerad lokalisation på huvudet, i ansiktet eller på halsen
C761 	Icke närmare specificerad lokalisation i brösthålan (thorax)
C762 	Icke närmare specificerad lokalisation i buken
C763 	Icke närmare specificerad lokalisation i lilla bäckenet
C764 	Icke närmare specificerad lokalisation i övre extremiteterna, inkl skulderregion
C765 	Icke närmare specificerad lokalisation i nedre extremiteterna
C767 	Tumör med annan ospecificerad lokalisation
C768 	Tumör med annan och ofullständigt angiven lokalisation och med övergripande växt
C770 	Huvud, ansikte och hals
C771 	Intratorakalt
C772 	Intraabdominellt
C773 	Axill och övre extremitet
C774 	Ljumske och nedre extremitet
C775 	Bäcken
C778 	Lymfkörlar i multipla kroppsregioner
C779 	Lymfkörtel UNS
C809 	Sekundär malign tumör
