Kod 	Klartext
C827 	non-hodgkin lymfom
C829 	non-hodgkin lymfom
C834 	non-hodgkin lymfom
C835 	non-hodgkin lymfom
C836 	non-hodgkin lymfom
C837 	non-hodgkin lymfom
C838 	non-hodgkin lymfom
C840 	t-cellslymfom
C841 	sezarys syndrom
C842 	t-cellslymfom
C843 	t-cellslymfom
C844 	T-cellslymfom
C845 	T-cellslymfom
C850 	lymfosarkom
C851 	b-cells lymfom uns
C857 	kutant lymfom uns
C859 	malignt lymfom uns
C880 	immunoproliferativ sjd
C881 	immunoproliferativ sjd
C882 	immunoproliferativ sjd
C883 	immunoproliferativ sjd
C887 	immunoproliferativ sjd
C889 	immunoproliferativ sjd
C900 	myelom
C901 	myelom
C902 	myelom
C910 	akut lymfatisk leukemi
C911 	kronisk lymfatisk leukemi
C912 	lymfatisk leukemi
C913 	lymfatisk leukemi
C914 	hårcellsleukemi
C915 	lymfatisk leukemi
C917 	lymfatisk leukemi
C919 	lymfatisk leukemi
C920 	akut myeloisk leukemi
C921 	kronisk myeloisk leukemi
C922 	myeloisk leukemi
C923 	myeloisk leukemi
C924 	myeloisk leukemi
C925 	myeloisk leukemi
C927 	myeloisk leukemi
C929 	myeloisk leukemi
C930 	monocytleukemi
C931 	monocytleukemi
C932 	monocytleukemi
C937 	monocytleukemi
C939 	momocytleukemi
C940 	leukemi annan spec
C941 	leukemi annan spec
C942 	leukemi annan spec
C943 	leukemi annan spec
C944 	leukemi annan spec
C945 	leukemi annan spec
C947 	leukemi annan spec
C950 	leukemi uns
C951 	leukemi uns
C959 	leukemi uns
C960 	lymfoid ospec tumör
C961 	lymfoid ospec tumör
C962 	lymfoid ospec tumör
C963 	lymfoid ospec tumör
C967 	lymfoid ospec tumör
C969 	lymfoid ospec tumör
D043 	Ca in situ i huden i andra och icke spec delar av ansiktet
D101 	Benign tumör i tungan
D110 	Benign tumör i parotiskörteln
D117 	Benign tumör i andra stora spottkörtlar
D119 	Benign tumör i stor spottkörtel, ospecificerad
D152 	Benign tumör i mediastinum
D164 	Benign tumör i skallens och ansiktets ben
D170 	Lipom i hud och subkutan vävnad i huvudet, ansiktet och halsen
D171 	Lipom i hud och subkutan vävnad på bålen
D172 	Lipom i hud och subkutan vävnad på extremiteter
D173 	Lipom i hud och subkutan vävnad med andra och icke spec lok
D174 	Lipom i intratorakala organ
D175 	Lipom i intraabdominella organ
D176 	Lipom i sädesledare
D177 	Lipom med andra spec lok
D179 	Icke spec lok av lipom
D180 	Haemangiom, alla lokalisationer
D210 	Benign tumör i bindväv o annan mjukvävnad i huvud, ansikte och hals
D211 	Benign tumör i bindväv o annan mjukvävnad i övre extrem inkl skuldra
D212 	Benign tumör i bindväv och annan mjukvävnad i nedre extrem inkl höft
D213 	Benign tumör i bindväv o annan mjukvävnad i bröstkorgen
D214 	Benign tumör i bindväv o annan mjukvävnad i buken
D215 	Benign tumör i bindväv och annan mjukvävnad i bäckenet
D216 	Benign tumör i bindväv o annan mjukvävnad på bål, icke spec lok
D217 	Icke spec lok benign tumör i bindväv och annan mjukvävnad
D220 	Melanocytnaevus på läpp
D221 	Melanocytnaevus på ögonlock inkl ögonvrå
D222 	Melanocytnaevus på öra och yttre hörselgång
D223 	Melanocytnaevus på andra och icke spec delar av ansiktet
D224 	Melanocytnaevus i hårbotten och halsen
D225 	Melanocytnaevus på bålen
D226 	Melanocytnaevus på övre extremitet inkl skuldra
D227 	Melanocytnaevus på nedre extremitet inklusive höften
D229 	Icke specificerad lokalisation av melanocytnaevus
D233 	Andra benigna tumörer i huden på andra och icke spec delar av ansikte
D234 	Andra benigna tumörer i hårbotten och huden på halsen
D236 	Andra benigna tumörsjd i huden på övre extremiteter inkl skuldran
D249 	Benign tumör i bröstkörtel
D251 	Intramuralt uterusmyom
D279 	Benign tumör i ovarium
D330 	Benign tumör i hjärnan, supratentoriell lok
D331 	Benign tumör i hjärnan, infratentoriell lok
D332 	Benign tumör med icke spec lok i hjärnan
D333 	Benign tumör i kranialnerver
D334 	Benign tumör i ryggmärgen
D337 	Benign tumör i andra spec delar av CNS
D339 	Icke spec lok av benign tumör i CNS
D349 	Benign tumör i thyreoidea
D350 	Benign tumör i binjure
D351 	Benign tumör i parathyreoidea
D352 	Benign tumör i hypofys
D353 	Benign tumör i ductus craniopharyngealis
D354 	Benign tumör i corpus pineale
D355 	Benign tumör i glomus caroticum
D356 	Benign tumör i aortic body och andra paraganglier
D357 	Benign tumör i andra spec endokrina körtlar
D358 	Benign tumör med multiglandulär lok
D359 	Icke specificerad lokalisation av benign tumör i endokrin körtel
D377 	Tumör av osäker eller okänd natur i andra matsmältningsorgan
D390 	Tumör av osäker eller okänd natur i uterus
D391 	Tumör av osäker/okänd natur i ovarium
D392 	Tumör av osäker eller okänd natur i placenta
D397 	Tumör av osäker/okänd natur i andra spec lok av kvinnl könsorgan
D398 	Icke spec lok av tumör av osäker/okänd natur i kvinnl könsorgan
D410 	Tumör av osäker eller okänd natur i njure
D430 	Tumör av osäker eller okänd natur i hjärnan, supratentoriell lok
D431 	Tumör av osäker eller okänd natur i hjärnan, infratentoriell lok
D439 	Icke spec lok av tumör av osäker eller okänd natur i CNS
D440 	Tumör av osäker eller okänd natur i thyreoidea
D45 	polycytemia vera
D459 	Polycythaemia vera
D460 	myeloisk leukemi
D461 	myeloisk leukemi
D462 	myeloisk leukemi
D463 	myeloisk leukemi
D467 	myeloisk leukemi
D469 	myeloisk leukemi
D470 	lymfoid ospec tumör
D471 	lymfoid övr tumör
D473 	essentiell trombocytemi
D479 	Lymfoproliferativ sjukdom UNS
D480 	Tumör av osäker eler okänd natur i ben och ledbrosk
D481 	Tumör av osäker eller okänd natur i bindväv o annan mjukvävnad
D482 	Tumör av osäker/oklar natur i perifera nerver o autonoma nervsyst
D483 	Tumör av osäker/okänd natur i retroperitoneum
D484 	Tumör av osäker/okänd natur i peritoneum
D485 	Tumör av osäker eller okänd natur i huden
D486 	Tumör av osäker eller okänd natur i bröstkörtel
D487 	Tumör av osäker/okänd natur på andra spec lok
D489 	Icke spec lok av tumör av osäker eller okänd natur
D649 	Anemi, ospecificerad
D693 	Idiopatisk trombocytopen purpura
D760 	lymfoid ospec tumör
D860 	Lungsarkoidos
D861 	Sarkoidos i lymfkörtlar
D862 	Lungsarkoidos med sarkoidos i lymfkörtlar
D863 	Sarkoidos i huden
E030 	Medfödd hypothyreos med diffus struma
E038 	Annan specificerad hypothyreos
E039 	Hypothyreos, ospec
E040 	Atoxisk diffus struma
E041 	Atoxisk uninodulär struma
E042 	Atoxisk multinodulär struma
E048 	Annan spec atoxisk struma
E049 	Atoxisk struma, ospec
E050 	Thyreotoxicos med diffus struma
E051 	Thyreotoxicos med toxisk uninodulär struma
E052 	Thyreotoxicos med toxisk multinodulär struma
E053 	Thyreotoxicos beroende på ektopisk thyreoideavävnad
E054 	Thyreotoxicos factitia (överkonsumtion av sköldkörtelhormon)
E055 	Thyreotoxisk kris
E058 	Annan thyreotoxicos
E059 	Thyreotoxicos ospecificerad
E060 	Akut thyreoidit
E061 	Subakut thyreoidit
E062 	Kronisk thyreoidit med övergående thyreotoxicos
E063 	Autoimmun thyreoidit
E064 	Läkemedelsutlöst thyreoidit
E065 	Annan kronisk thyreoidit
E069 	Thyreoidit, ospec
E070 	Hypersekretion av kalcitonin
E071 	Dyshormogen struma
E078 	Andra spec sjukdomar i sköldkörteln
E079 	Sjukdom i sköldkörteln, ospec
E220 	Akromegali och hypofysär gigantism
E340 	Carcinoidsyndrom
F320 	Lindrig depressiv episod
F430 	Akut stressreaktion
G122 	Motorneuronsjukdom
H319 	Choriodal sjukdom, ospecificerad
I880 	Icke specifik mesenteriell lymfadenit
I881 	Kronisk lymfadenit med undantag av mesenteriet
I888 	Annan icke specifik lymfadenit
I889 	Icke specifik lymfadenit, ospec
J989 	Sjukdomar i andningsorganen, ospecificerade
K110 	Spottkörtelatrofi
K111 	Spottkörtelhypertrofi
K112 	Spottkörtelinflammation
K113 	Spottkörtelabscess
K114 	Spottkörtelfistel
K115 	Spottsten
K116 	Mukocele
K117 	Rubbad spottkörtelfunktion
K118 	Andra spec sjukdomar i spottkörtlarna
K119 	Sjukdom i spottkörtel, ospec
K290 	Akut hemorragisk gastrit
K291 	Annan akut gastrit
K292 	Gastrit orsakar av alkohol
K293 	Kronisk ytlig gastrit
K294 	Kronisk atrofisk gastrit
K295 	Kronisk gastrit, ospec
K296 	Annan spec gastrit
K297 	Gastrit, ospec
K298 	Duodenit
K299 	Gastroduodenit, ospec
K573 	Divertikel i tjocktarmen utan perforation eller abscess
K589 	Irritabel tarm utan diar'ee
K650 	Akut peritonit
K658 	Annan specificerad peritonit
K659 	Peritonit, ospecificerad
K750 	Leverabscess
L040 	Akut lymfadenit i ansiktet, på huvudet och halsen
L041 	Akut lymfadenit på bålen
L042 	Akut lymfadenit på övre extremitet
L043 	Akut lymfadenit på nedre extremitet
L048 	Akut lymfadenit med andra spec lok
L049 	Akut lymfadenit, ospec
L050 	Pilonidalcysta med abscess
L051 	Pilonidalcysta
L059 	Pilonidalcysta utan abscess
L439 	Lichen ruber planus, ospec
L928 	Andra spec granulomatösa sjukdomar i hud och underhud
L988 	Andra specificerade sjukdomar i hud och underhud
M479 	Spondylos, ospecificerad
M723 	Nodulär fasciit
M800 	Osteoporos
M809 	Icke specificerad osteoporos med patologisk fraktur
M859 	Rubbning i bentäthet och benstruktur, ospecificerad
N421 	Blodöverfyllnad och blödning i prostata
N600 	Solitär cysta i bröstkörtel
N601 	Diffus cystisk mastopati
N602 	Fibroadenomatos i bröstkörtel
N603 	Fibroskleros i bröstkörtel
N604 	Ektasi av bröstkörtelgångarna
N608 	Andra spec benigna bröstkörteldysplasier
N609 	Benign bröstkörteldysplasi, ospec
N619 	Inflammatorisk process i bröstkörtelvävnad
N629 	Gynekomasti
N649 	Sjukdom i bröstkörtel, ospecificerad
N832 	Andra och icke specificerade ovarialcystor
N900 	Lätt dysplasi i vulva
N901 	Måttlig dysplasi i vulva
N902 	Svår dysplasi i vulva som ej klassificeras annorstädes
N903 	Dysplasi i vulva,ospec
N904 	Leukoplaki i vulva
N905 	Atrofi av vulva
N906 	Hypertrofi av vulva
N907 	Cysta i vulva
N908 	Andra spec icke inflammatoriska sjd i vulva och perineum
N909 	Icke inflammatorisk sjd i vulva och perineum, ospec
N950 	Postmenopausal blödning
O008 	Annan specificerad extrauterin graviditet
Q282 	Arteriovenös missbildning
Q850 	Neurofibromatos (icke malign)
Q851 	Tuberös skleros
Q858 	Andra spec fakomatoser som ej klassificeras annorstädes
Q859 	Fakomatos, ospec
R190 	Svullnad, knöl och resistens i buken eller bäckenet
R221 	Lokaliserad svullnad eller knöl i halsregionen
R298 	Andra och icke spec symtom och sjd-tecken fr nerv-muskuloskeletal
R429 	Vertigo UNS
R509 	Feber, ospecificerad
R529 	Smärta eller värk, ospec
R590 	Lokaliserad lymfkörtelförstoring
R591 	Generell lymfkörtelförstoring
R599 	Lymfkörtelförstoring, ospec
R879 	Onormala fynd i prov från de kvinnliga könsorganen
R937 	Onormala fynd vid radiologisk diagnostik musculoskelettala systemet
Z018 	Andra spec speciella undersökningar
Z019 	Speciell undersökning, ospec
Z031 	Observation för misstänkt malign tumör
Z038 	Observation för andra misstänkta sjukdomar och tillstånd
Z039 	Obs för icke spec misstänkt sjd eller icke spec misstänkt tillstånd
Z049 	Undersökning och observation av icke specificerat skäl
Z120 	Riktad hälsokontroll avseende tumör i magsäcken
Z121 	Riktad hälsokontroll avseende tumör i tarmen
Z122 	Riktad hälsokontroll avseende tumör i andningsorganen
Z123 	Riktad hälsokontroll avseende tumör i bröstkörtel
Z124 	Riktad hälsokontroll avseende tumör i cervix
Z125 	Riktad hälsokontroll avseende tumör i prostata
Z126 	Riktad hälsokontroll avseende tumör i urinblåsan
Z128 	Riktad hälsokontroll avseende tumörer med andra lokalisationer
Z129 	Riktad hälsokontroll avseende tumör, ospec
Z138 	Riktad hälsokontroll avseende andra spec sjukdomar
Z139 	Riktad hälsokontroll, ospec
Z637 	Andra stressfyllda händelser som drabbar familj och hushåll
Z711 	Person med befarad sjukdom där ingen diagnos ställts
