Kod 	Klartext
84723 	"Mucinöst kystadenom (kystom) borderline-typ ( 2 B)"
84801 	"Slembildande cancer, misstänkt"
84802 	"Intramukosal non invasiv cancer"
84803 	"Mucinös (slembildande) cancer"
84901 	"Misstänkt signetringcellscancer"
84903 	"Signetringcellscancer"
85001 	"Misstänkt duktal förändring"
85002 	"Duktal cancer in situ"
85003 	"Duktal cancer = Duktogen cancer"
85011 	"Misstänkt comedocancer"
85012 	"Comedocancer in situ"
85013 	"Comedocancer"
85101 	"Misstänkt medullär cancer"
85103 	"Medullär cancer"
84702 	"Mucinös kystadenocarcinom icke invasivt"
84721 	"Mucinös papillär/cystisk Borderlinetumör"
85023 	"Juvenilt/sekretoriskt carcinom i bröst"
85032 	"Adenocarcinom, intraduktalt, papillärt in situ"
85033 	"Adenocarcinom, duktalt, papillärt"
85113 	"Medullär cancer"
85201 	"Misstänkt lobulär cancer"
85202 	"Lobulär cancer in situ"
85203 	"Lobulär cancer"
85303 	"Inflammatoriskcancer"
85401 	"Misstänkt Mb Paget"
85402 	"Mb Paget non invasiv"
85403 	"Mb Paget"
85421 	"Misstänkt Morbus Paget (extramammärt) invasiv"
85422 	"Pagets sjukdom (extra mammärt) non-invasiv"
85423 	"Morbus Paget (extramammärt) invasiv"
85432 	"Mb Paget non invasiv och intraduktal"
85433 	"Mb Paget och duktal cancer"
85501 	"Misstänkt acinic cell cancer"
85503 	"Acinic cell cancer"
85601 	"Misstänkt adenoskvamös cancer"
85133 	"Medullärt carcinom, atypiskt"
85222 	"Kombinerat duktalt och lobulärt carcinom in situ"
85223 	"Kombinerat duktalt och lobulärt carcinom"
85233 	"Duktalt carcinom blandat med andra typer"
85243 	"Lobulärt carcinom blandat med andra typer"
85253 	"Adenocarcinom pleomorft låggradigt"
85413 	"Mb Paget och infiltrerande duktalt carcinom"
85602 	"Adenoskvamös cancer in situ"
85603 	"Adenoskvamös cancer"
85623 	"Epitelialt myoepitelialt carcinom"
85701 	"Misstänkt adenoakantom"
85703 	"Adenoakantom"
85800 	"Tymom"
85803 	"Tymom, malignt"
85900 	"Benign gonadstromatumör"
85901 	"Gonadal stromacellstumör"
86000 	"Tekom"
86001 	"Misstänkt tekom malignt"
86003 	"Tekom malignt"
86201 	"Misstänkt granulosacells tumör, malign"
86203 	"Granulosacells tumör, malign"
86211 	"Granulosa-tekacells tumör"
86301 	"Arrhenoblastom UNS"
85811 	"Tymom, medullärt, UNS"
85813 	"Tymom, medullärt, malignt"
85821 	"Tymom, blandat, UNS"
85823 	"Tymom, blandat, malignt"
85841 	"Tymom, kortikalt, UNS"
85843 	"Tymom, kortikalt, malignt"
85863 	"Carcinom, tymiskt, UNS"
86100 	"Luteom endokrint aktiv???"
86303 	"Arrenoblastom malignt"
86311 	"Misstänkt Sertoli-Leydig cells tumör, malign"
86313 	"Sertoli-Leydig cells tumör, malign"
86321 	"Gynandroblastom"
86403 	"Sertoli- cell carcinom"
86501 	"Leydigcellstumör"
86503 	"Leydigcellstumör, malign"
86700 	"Lipidcellstumör (luteom)"
86801 	"Paragangliom, benignt"
86803 	"Paragangliom, malignt"
86901 	"Glomus jugulare"
86911 	"Glomus aorticum"
86921 	"Glomus caroticum"
86931 	"Kemodektom"
87000 	"Feokromocytom UNS"
87003 	"Feokromocytom, malignt"
86401 	"Sertolicells tumör UNS"
86410 	"Sertolicellstumör UNS (endokrint aktiv = lipidrik)"
86600 	"Hiluscellstumör (endokrint aktiv)"
87201 	"Malignt melanom, misstänkt"
87202 	"Malignt melanom in situ"
87203 	"Malignt melanom UNS"
87213 	"Nodulärt melanom"
87231 	"Misstänkt regressivt malignt melanom"
87233 	"Regressivt mal melanom"
87303 	"Amelanotiskt melanom"
87421 	"Lentigo med misstänkt malignitet"
87422 	"Lentigo maligna (precancerös)"
87423 	"Lentigo maligna-melanoma (infiltrerande)"
87431 	"Misstänkt SSM melanom"
87432 	"Superficiellt spridande melanom in situ"
87433 	"Superficial spreading melanoma"
87442 	"Akralt lentiginöst mal melanom in situ"
87443 	"Akralt lentiginöst malignt melanom"
87451 	"Misstänkt desmoplastiskt malignt melanom"
87223 	"Ballongcellsmelanom"
87280 	"Melanocytos, diffus (C70.9)"
87281 	"Melanocytom, meningealt (C70.9)"
87283 	"Melanomatosis, meningeal (C70.9)"
87412 	"Melanos, precancerös"
87270 	"dysplastiska naevi med grav dysplasi"
87453 	"Desmoplastiskt malignt melanom"
87723 	"Spolcellsmelanom"
88001 	"Misstänkt odifferentierat sarkom, mesynkymal tumör"
88003 	"Odifferentierat sarkom, mesynkymal tumör"
88011 	"Misstänkt spolcelligt sarkom"
88013 	"Spolcelligt sarkom"
88023 	"Jättecellssarkom"
88041 	"Misstänkt epiteloidcellssarkom"
88043 	"Epiteloidcellssarkom"
88101 	"Misstänkt fibrosarkom"
88103 	"Fibrosarkom"
88111 	"Misstänkt fibromyxosarkom"
88113 	"Fibromyxosarkom"
88211 	"Fibromatos"
88301 	"Fibröst histiocytom, atypiskt"
88303 	"Fibröst histiocytom, malignt"
87463 	"Mucosalt lentiginöst melanom*"
87703 	"Blandat epiteloid- och spolcellsmelanom / Spitzoitt melanom-"
87713 	"Epiteloidcellsmelanom"
87733 	"Melanom, malignt spolcellig typ A"
87743 	"Melanom, malignt spolcellig typ B"
87803 	"Mal blå naevus"
88323 	"Dermatofibrosarkoma protuberans"
88400 	"Myxom"
88403 	"Myxosarkom"
88500 	"Intrakraniellt lipom"
88501 	"Misstänkt liposarkom"
88503 	"Liposarkom"
88901 	"Misstänkt leiomyosarkom"
88903 	"Leiomyosarkom"
88910 	"Leiomyoblastom"
88930 	"Bisarrt (epiteloitt) leiomyom"
88951 	"Misstänkt myogent sarkom"
88953 	"Myogent sarkom"
89001 	"Misstänkt rhabdomyosarkom"
89003 	"Rhabdomyosarkom"
89103 	"Rhabdomyosarkom, embryonalt (botryoid-typ)"
89203 	"Alveolärt rhabdomyosarkom"
88523 	"Liposarkom, myxoitt"
89303 	"Endometrialt stromacellssarkom"
89311 	"Endo-lymfatisk stromamyos"
89333 	"Adenosarkom"
89401 	"Misstänkt blandsvulst, malign (av spottkörteltyp)"
89403 	"Blandsvulst, malign (av spottkörteltyp)"
89501 	"Misstänkt Müllersk blandtumör"
89503 	"Müllersk blandtumör"
89511 	"Misstänkt mesodermal blandtumör"
89513 	"Mesodermal blandtumör"
89601 	"Misstänkt nefroblastom, Wilms tumör"
89603 	"Nefroblastom, Wilms tumör"
89641 	"Misstänkt klarcellssarkom"
89643 	"Klarcellssarkom"
89701 	"Misstänkt hepatoblastom"
89703 	"Hepatoblastom"
89721 	"Misstänkt pulmonärt blastom"
89313 	"Endometrialt stromacellssarkom, låggradigt (endolymfatisk stromamyos, endome"trie
89361 	"GIST UNS (gastrointestinal stroma cellstumör med oklar malign potential/miss"tänk
89363 	"GIST (gastrointestinalt stromacellssarkom)"
89413 	"Malignt pleomorft adenom"
89411 	"Misst mal pleomorft adenom"
89723 	"Pulmonärt blastom"
89801 	"Misstänkt carcinosarkom"
