Kod 	Klartext
048209 	Blacksta
048210 	Forssa
048211 	Vadsbro
048300 	Katrineholm
048301 	Katrineholm
048302 	Björkvik
048303 	Lerbo
048304 	Sköldinge
048305 	Floda
048306 	Stora malm
048307 	Östra vingåker
048308 	Julita
048401 	Fors
048402 	Kloster
048403 	Torshälla
048404 	Barva
048405 	Jäder
048406 	Kjula
048407 	Hammarby
048408 	Sundby
048409 	Vallby
048410 	Hällby
048411 	Tumbo
048412 	Råby-rekarne
048413 	Gillberga
048414 	Lista
048415 	Öja
048416 	Västermo
048417 	Näshulta
048418 	Husby-rekarne
048419 	Stenkvista
048420 	Ärla
048500 	Torshälla
048501 	Torshälla
048600 	Strängnäs domkyrkoförs
048601 	Strängnäs domkyrkoförs
048603 	Aspö
048604 	Mariefred
048605 	Länna
048606 	Åker
048607 	Toresund
048608 	Ytterselö
048609 	Överselö
048610 	Vansö
048611 	Fogdö
048612 	Helgarö
048613 	Härad
048701 	Mariefred
048702 	Mariefred
048703 	Taxinge
048800 	Trosa
048801 	Trosa
050101 	Västra ny
050102 	Godegård
050200 	Tjällmo
050201 	Tjällmo
050301 	Kristberg
050302 	Brunneby
050303 	Klockrike
050401 	Älvestad
050402 	Normlösa
050403 	Vallerstad
050404 	Skeppsås
050405 	Fornåsa
050406 	Lönsås
050407 	Ekebyborna
050408 	Ask
050501 	Varv och styra
050502 	Västra stenby
050503 	Hagebyhöga
050504 	Fivelstad
050505 	Orlunda
050601 	Strå
050602 	Nässja
050603 	Örberga
050604 	Herrestad
050605 	Källstad
050606 	Rogslösa
050607 	Väversunda
050701 	Hov
050702 	Appuna
050703 	Hogstad
050704 	Rinna
050705 	Väderstad
050706 	Kumla
050801 	Svanshals
050802 	Västra tollstad
050803 	Heda
050804 	Rök
050805 	Trehörna
050901 	Stora åby
050902 	Ödeshög
050903 	Svanshals
050904 	Västra tollstad
050905 	Heda
050906 	Rök
050907 	Trehörna
051001 	Åsbo
051002 	Blåvik
051003 	Malexander
051101 	Västra harg
051102 	Sya
051103 	Östra tollstad
051104 	Viby
051105 	Veta
051106 	Herrberga
051201 	Torpa
051202 	Asby
051203 	Sund
051204 	Västra ryd
051205 	Svinhult
051206 	Norra vi
051301 	Tidersrum
051302 	Kisa
051303 	Västra eneby
051304 	Horn
051305 	Hycklinge
051306 	Oppeby
051307 	Hägerstad
051308 	Kättilstad
051309 	Tjärstad
051401 	Horn
051402 	Hycklinge
051501 	Oppeby
051502 	Hägerstad
051503 	Kättilstad
051504 	Tjärstad
051601 	Grebo
051602 	Värna
051603 	Björsäter
051604 	Yxnerum
051800 	Landeryd
051901 	Vist
051902 	Vårdnäs
051903 	Skeda
052001 	Nykil
052002 	Ulrika
052003 	Gammalkil
052101 	Sjögestad
052102 	Västerlösa
052103 	Björkeberg
052104 	Rappestad
052105 	Vikingstad
052201 	Slaka
052202 	Kärna
052203 	Kaga
052204 	Ledberg
052301 	Vreta kloster
052302 	Flistad
052303 	Ljung
052304 	Stjärnorp
052401 	Östra harg
052402 	Rystad
052403 	Törnevalla
052404 	Östra skrukeby
052405 	Lillkyrka
052406 	Gistad
052407 	Örtomta
052408 	Askeby
052409 	Bankekind
052410 	Vårdsberg
052501 	Skärkind
052502 	Kimstad
052601 	Kullerstad
052602 	Vånga
052603 	Skärkind
052604 	Kimstad
052700 	Hällestad
052701 	Hällestad
052801 	Regna
052802 	Skedevi
052901 	Simonstorp
052902 	Kvillinge
